av,al,co,se,ta,tcost
3.5,1.6,3.5,9,1,0.42535
3.5,1.6,3.5,9,1.5,0.4488395
4,1.6,3.5,9,1.5,0.4658073
4,1.6,3.5,8.5,1.5,0.4087414
4,1.6,3.5,9,1.5,0.4352846
4,1.6,3.5,9,1,0.478384
4,1.6,3.5,8.5,1,0.4442876
4,1.6,3.5,8.5,0.5,0.4269566
4,1.1,3.5,8.5,0.5,0.4801912
4,0.6,3.5,8.5,0.5,0.4722545
4,0.6,3.5,8.5,1,0.4700263
4,0.6,4,8.5,1,0.4633754
4,0.6,4,8.5,1.5,0.4672617
4,0.6,4,8.5,2,0.4239101
4,0.6,4,8.5,2.5,0.4537776
4.5,0.6,4,8.5,2.5,0.5052735
4.5,0.6,4,8.5,2,0.4700332
5,0.6,4,8.5,2,0.4497251
5,0.6,4,9,2,0.4669024
5,0.6,4,9.5,2,0.4580941
5,0.6,4,10,2,0.4748594
5,0.6,4,10.5,2,0.42812
5,0.6,4,10,2,0.4540137
4.5,0.6,4,10,2,0.4912228
4.5,0.1,4,10,2,0.4678307
4.5,0.1,4.5,10,2,0.4535089
4.5,0.1,4.5,10.5,2,0.4693837
4.5,-0.4,4.5,10.5,2,0.453723
4.5,-0.4,4.5,11,2,0.502029
4.5,-0.4,4.5,11.5,2,0.4564254
4.5,-0.9,4.5,11.5,2,0.4575352
4.5,-0.9,4.5,12,2,0.4820574
5,-0.9,4.5,12,2,0.4269243
5,-0.9,4.5,12.5,2,0.4623614
5,-0.9,4.5,12.5,1.5,0.4521372
5,-0.9,4.5,13,1.5,0.451076
5,-0.9,4.5,13,2,0.4204943
5,-0.9,4.5,13.5,2,0.4604305
5,-0.9,4.5,13,2,0.4928309
5,-0.9,4.5,13,1.5,0.4607733
5,-0.9,4.5,13.5,1.5,0.4577011
5,-0.9,4.5,14,1.5,0.4189661
5,-0.9,4.5,14,1,0.4465644
5,-0.9,4.5,14.5,1,0.4635141
5,-0.4,4.5,14.5,1,0.4381307
5,-0.4,4.5,14.5,0.5,0.5123484
5,0.09999999,4.5,14.5,0.5,0.4825009
5,0.09999999,4.5,15,0.5,0.4324986
5,0.09999999,4,15,0.5,0.4468661
5,0.09999999,4,15,1,0.4428679
4.5,0.09999999,4,15,1,0.5004992
4.5,0.09999999,3.5,15,1,0.4763839
4.5,-0.4,3.5,15,1,0.4453876
4.5,-0.4,3.5,14.5,1,0.4446518
4.5,-0.4,3.5,14,1,0.4395229
4.5,0.09999999,3.5,14,1,0.4611305
4.5,0.09999999,4,14,1,0.3971885
4,0.09999999,4,14,1,0.4409777
4,0.09999999,4,14,1.5,0.3894404
4,0.09999999,4,14.5,1.5,0.4938901
4,0.09999999,4.5,14.5,1.5,0.4790122
4.5,0.09999999,4.5,14.5,1.5,0.3861049
5,0.09999999,4.5,14.5,1.5,0.4529971
5,0.09999999,5,14.5,1.5,0.4058565
5,0.09999999,5,14.5,2,0.4431579
5,-0.4,5,14.5,2,0.4821609
4.5,-0.4,5,14.5,2,0.4770353
4,-0.4,5,14.5,2,0.482222
4,-0.4,5.5,14.5,2,0.4920697
4,0.09999999,5.5,14.5,2,0.4459946
4,-0.4,5.5,14.5,2,0.4177978
3.5,-0.4,5.5,14.5,2,0.3831966
4,-0.4,5.5,14.5,2,0.4884449
4,-0.4,5.5,14,2,0.4852569
4,-0.4,5.5,14.5,2,0.4574001
4,-0.9,5.5,14.5,2,0.4711794
4,-0.9,5,14.5,2,0.4537276
4.5,-0.9,5,14.5,2,0.4965053
4.5,-0.9,4.5,14.5,2,0.3776168
4.5,-0.9,4.5,14.5,1.5,0.4464931
4.5,-0.9,4.5,14.5,1,0.4624657
5,-0.9,4.5,14.5,1,0.4448518
5.5,-0.9,4.5,14.5,1,0.4599732
5.5,-0.9,4.5,14,1,0.464999
5.5,-0.9,4.5,14,1.5,0.4832017
6,-0.9,4.5,14,1.5,0.4569221
6,-0.9,4.5,14,1,0.427222
6,-0.4,4.5,14,1,0.4438549
6,-0.4,4.5,14,1.5,0.4472627
6,-0.4,4.5,14,1,0.4013335
6,-0.4,4.5,14,1.5,0.4866282
6,-0.9,4.5,14,1.5,0.4432743
6,-0.9,4.5,14.5,1.5,0.482489
6,-1.4,4.5,14.5,1.5,0.4822233
6,-1.4,4.5,15,1.5,0.449839
6,-1.4,4.5,15.5,1.5,0.4642116
6,-1.4,4.5,15,1.5,0.5118223
5.5,-1.4,4.5,15,1.5,0.4502938
5.5,-1.9,4.5,15,1.5,0.4346493
6,-1.9,4.5,15,1.5,0.4429045
6,-1.9,4.5,14.5,1.5,0.4420213
6,-1.9,5,14.5,1.5,0.4370635
6,-1.9,5,14.5,1,0.4680535
6.5,-1.9,5,14.5,1,0.4894717
6.5,-1.9,5,14,1,0.4991493
6.5,-1.4,5,14,1,0.46512
6,-1.4,5,14,1,0.4150003
6,-1.4,5,13.5,1,0.5110738
6,-1.4,5,13.5,1.5,0.4582614
6,-1.4,4.5,13.5,1.5,0.4979989
6,-1.4,4,13.5,1.5,0.4629555
6,-1.4,4,14,1.5,0.4432706
6,-1.4,4,14,2,0.4420109
5.5,-1.4,4,14,2,0.4457852
6,-1.4,4,14,2,0.4564224
5.5,-1.4,4,14,2,0.463725
5.5,-0.9,4,14,2,0.381408
5.5,-0.9,4,14,2.5,0.3533447
5,-0.9,4,14,2.5,0.4860016
5.5,-0.9,4,14,2.5,0.4346155
5.5,-0.9,4.5,14,2.5,0.4418699
5.5,-0.9,5,14,2.5,0.41523
5.5,-0.9,5,14,2,0.4629767
5.5,-0.9,5,14.5,2,0.4183529
5.5,-1.4,5,14.5,2,0.464634
